[info ] InitLogOutput:00269                    WBDI Build Jul 13 2024 15:04:55, LogTarget 31, LogLevel 9, LogPath C:\ProgramData\Goodix\WBDI.log
[debug] GetPowerInformation:00420              PowerCapability::0x01000100000101010101010000010000000001000000020000000000000001000000000000000000000000000000000000000000000000000000000000000000050000000000000000000000
[debug] GetPowerInformation:00422              supports Modern Standby: No
[info ] DriverEntry:00112                      Driver Entry Traditional S3
[debug] DriverEntry:00126                      before WdfDriverCreate
[debug] StartSessionDetection:00161            session thread enter
[info ] DriverEntry:00155                      exit
[info ] PowerNotificationCallback:00452        display state 0x1(0x2-dim/0x1-on/0x0-off)
[debug] clear_submit_delay:04032               enter
[info ] sessionThread:00108                    UNLOCK to clear pov data right away
[warn ] ClearPOVImage:03806                    no pov data
[debug] milanFusbEvtDeviceAdd:00186            Entry
[info ] milanFusbCreateDevice:01356            enter
[info ] GetCurrentFingerprintHardwareID:01258  enter
[info ] GetCurrentFingerprintHardwareID:01280  HardwareID: ACPI\VEN_GXFP&DEV_51A0
[warn ] GetCurrentFingerprintHardwareID:01302  HardwareID not match
[info ] GetCurrentFingerprintHardwareID:01280  HardwareID: ACPI\GXFP51A0
[info ] GetCurrentFingerprintHardwareID:01317  HardwareID match for product 3, ACPI\GXFP51A0
[debug] milanFusbCreateDevice:01394            to support disable and enable
[debug] milanFusbCreateDevice:01400            support S0Idle or SxWake
[debug] milanFusbCreateDevice:01402            CONFIG DATA: hlk_test_switch 0, max_event_log_num 3
[debug] milanFusbCreateDevice:01424            S0Idle: 10s, switch 0
[info ] milanFusbCreateDevice:01624            exit, status: 0x0
[debug] milanFusbEvtDeviceAdd:00188            Exit
[info ] MilanEvtDevicePrepareHardware:04112    enter, driver version:1.1.141.40
[debug] MilanEvtDevicePrepareHardware:04126    resource count: 3
[info ] MilanEvtDevicePrepareHardware:04215    gpio-io count: 1, spi count: 1, interrupt count: 1, gpio.LowPart:5, gpio.HighPart:0, spi.LowPart:3, spi.HighPart:0
[debug] MilanEvtDevicePrepareHardware:04279    interrupt pdr:FFFFFDEB9858EAA8
[info ] SpbPeripheralOpen:00058                enter, LowPart:3, HighPart:0, DesiredAccess:0x12019f
[info ] SpbPeripheralOpen:00058                enter, LowPart:5, HighPart:0, DesiredAccess:0x120116
[info ] MilanEvtDevicePrepareHardware:04335    Start to create the target
[info ] MilanEvtDevicePrepareHardware:04347    Start to open IO target
[info ] MilanEvtDevicePrepareHardware:04360    Open the target success
[info ] _init_global_hal_context:00367         enter
[info ] device_data_analyze:01843              --- start
[debug] device_data_analyze:01859              --- device_data_analyze g_halcontext.mode = 0xe
[info ] startDataAnalyzeMonitoring:01827       Resume Thread device_fdtdata_analyze
[info ] device_fdtdata_analyze:06399           --- start
[info ] startfdtDataAnalyzeMonitoring:06391    Resume Thread device_fdtdata_analyze
[info ] _init_global_hal_context:00431         exit 1
[debug] MilanEvtDevicePrepareHardware:04381    exit, status: 0x0, bret:1
[info ] MilanEvtDeviceD0Entry:04471            entry, prev state: 5(4-D3,5-D3Final), power action: 0, driver version 1.1.141.40
[info ] MilanEvtDeviceD0Entry:04490            to call initialize_enclave, global_eid: 0
[debug] initialize_enclave:00202               Entry
[info ] initialize_enclave:00236               to sgx_create_enclave
[info ] initialize_enclave:00238               call sgx_create_enclave: ret=0x0, global_eid=0x21469000000
[info ] initialize_enclave:00273               Create WBDI Enclave Success, eid: 0x21469000000, token updated: 0
[debug] init_enclave_ecall:00275               switch way len 1:1:0,
[info ] initialize_enclave:00295               init_enclave_ecall sgx status: 0x0, retval: 0, log level:9, switch: 1, way: 1
[debug] initialize_enclave:00318               Exit
[debug] needupdate_engine_base:00582           Always needupdate engine base when system from S3/S4/S5 to S0
[debug] _StartInitThread:05236                 enter
[debug] _StopInitThread:05215                  enter
[info ] _StartInitThread:05245                 to create init thread
[debug] _StartInitThread:05254                 exit
[info ] InitThread:00980                       --- Init: start
[info ] MilanEvtDeviceD0Entry:04578            exit
[debug] InitThread:00994                       Init: CONFIG DATA: time_wait_for_tls 1100, time_wait_for_pov 1200, retry_count_for_common_init 3
[info ] _DeviceInit:00618                      ---- enter
[debug] set_state:00679                        to set state from 0 to 1
[debug] send_driver_install_to_MCU:01510       DriverState:Install
[debug] SpiSendDataToDevice:02096              cmd0-cmd1-Len-ackt:0x0-0-0x4-0(0x0NOP,0x2Ima,0x3FDT(dow/up/man),0x4FF,0x5NAV,0x6Sle,0x7IDL,0x8REG,0x9CHIP,0xAOTHER,0xBMSG,0xCNOTI,0xDTLSCONN,0xEPROD,0xFUPFW)
[debug] SpiSendDataToDevice:02146              !!not to wait for ack
[debug] SpiSendDataToDevice:02208              exit
[debug] SpiSendDataToDevice:02096              cmd0-cmd1-Len-ackt:0x9-3-0x2-1000(0x0NOP,0x2Ima,0x3FDT(dow/up/man),0x4FF,0x5NAV,0x6Sle,0x7IDL,0x8REG,0x9CHIP,0xAOTHER,0xBMSG,0xCNOTI,0xDTLSCONN,0xEPROD,0xFUPFW)
[debug] MilanEvtInterruptIsr:04901             spi pack :type: 10, len: 6, checksum: 166 and first 5 bytes: 0xb0 0x3 0x0 0x96 0x1
[debug] data_from_device:03587                 cmd0-cmd1-cmd2-len-state: 0xb-0x0-0x0-0x3-1
[trace] get_msg_data:04327                     get ack for cmd: 0x96
[trace] get_msg_data:04374                     get ack for not listed data, current fdt dowm mode:0
[debug] SpiSendDataToDevice:02208              exit
[debug] SpiSendDataToDeviceLock:00485          SpiSendDataToDeviceLock exit
[debug] SendDataToDeviceLock:00321             exit, ret = 1
[debug] set_state:00679                        to set state from 1 to 3
[debug] device_action:02814                    besdenable:0
[debug] set_state:00679                        to set state from 3 to 1
[info ] init_MCU:01346                         enter
[debug] init_MCU:01361                         CONFIG DATA: retry_count_for_common_init 3
[info ] GetEvkVersionWithRetry:01300           Get Evk Version...
[debug] GetEvkVersion:04156                    enter
